timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
1778044500000,81278.8,81320.39,81251.63,81290.51,26.98465,1778044799999,2193640.1846067,5978,11.84946,963191.4371954,0
1778044800000,81290.51,81293.77,81230.01,81259.23,26.71898,1778045099999,2171091.1903731,6992,12.57042,1021379.4088517,0
1778045100000,81259.23,81283.59,81247.37,81259.77,22.05738,1778045399999,1792425.1937907,3959,7.10991,577765.8929307,0
1778045400000,81259.77,81259.77,81200.45,81216.7,26.90271,1778045699999,2185279.147971,4803,12.73364,1034286.3664207,0
1778045700000,81216.7,81216.71,81060.0,81067.73,159.01157,1778045999999,12899776.0700611,14899,45.34726,3678925.7571644,0
1778046000000,81067.72,81176.2,81067.72,81166.04,48.30768,1778046299999,3919639.5655398,7181,27.29686,2214862.1056574,0
1778046300000,81166.04,81259.21,81166.03,81243.52,45.5279,1778046599999,3697357.8746276,5608,35.48072,2881511.3821751,0
1778046600000,81243.52,81278.79,81224.0,81230.31,15.3948,1778046899999,1250795.1740324,5330,6.63537,539144.130761,0
1778046900000,81230.32,81333.15,81230.31,81333.0,68.8115,1778047199999,5595311.7419609,6334,51.14971,4159112.8452148,0
1778047200000,81333.0,81396.97,81317.25,81377.62,108.3976,1778047499999,8818512.7063564,9272,53.44752,4348319.9288752,0
1778047500000,81377.62,81393.23,81290.17,81290.17,23.00915,1778047799999,1871761.5660558,5925,5.46772,444813.7487336,0
1778047800000,81290.18,81290.18,81222.6,81263.04,35.53563,1778048099999,2887825.1550877,5435,11.93296,969699.2302743,0
1778048100000,81263.04,81270.0,81211.34,81269.99,30.83852,1778048399999,2505257.3246998,4815,16.59144,1347844.2091641,0
1778048400000,81270.0,81321.96,81255.84,81321.96,31.83163,1778048699999,2587120.058676,5538,14.61825,1188087.7165525,0
1778048700000,81321.96,81393.23,81282.23,81372.27,24.25023,1778048999999,1972434.010864,5075,16.63601,1353108.8933241,0
1778049000000,81372.27,81416.96,81342.26,81361.55,61.49898,1778049299999,5005163.6786837,5541,42.93451,3494379.045501,0
1778049300000,81361.54,81466.06,81361.54,81414.45,30.66291,1778049599999,2496478.9762757,6119,19.61374,1596865.6291979,0
1778049600000,81414.45,81472.74,81386.66,81472.73,35.39534,1778049899999,2882233.6044287,6649,16.91761,1377662.6646642,0
1778049900000,81472.74,81516.9,81463.58,81515.5,36.97945,1778050199999,3013283.9794572,6699,25.5063,2078350.8522086,0
1778050200000,81515.5,81515.51,81458.52,81487.07,34.23629,1778050499999,2789766.91435,5132,7.87407,641566.6603392,0
1778050500000,81487.07,81501.27,81454.01,81476.71,71.49967,1778050799999,5825866.2400288,4375,17.4344,1420596.5579787,0
1778050800000,81476.71,81543.42,81460.0,81460.01,44.43259,1778051099999,3621302.3472475,8491,19.94395,1625495.6952702,0
1778051100000,81460.01,81568.95,81460.01,81568.94,27.37109,1778051399999,2231115.4806517,7589,17.57316,1432511.6222773,0
1778051400000,81568.94,81611.0,81458.34,81458.34,123.19975,1778051699999,10045568.6909409,8630,41.5067,3385986.9798066,0
1778051700000,81458.35,81504.81,81453.45,81503.1,32.94638,1778051999999,2684528.4108767,7919,16.75458,1365219.5919197,0
