timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
1769398800000,2845.27,2848.46,2845.26,2848.18,1355.7894,1769399099999,3859816.481135,12172,458.0062,1303926.437808,0
1769399100000,2848.19,2848.47,2844.34,2848.13,1190.882,1769399399999,3390182.738679,15347,454.6634,1294278.769639,0
1769399400000,2848.13,2849.75,2843.19,2844.19,1564.5446,1769399699999,4454675.299387,21904,660.2931,1880035.279353,0
1769399700000,2844.18,2850.69,2840.89,2850.68,1999.3072,1769399999999,5689944.828034,22391,1236.3035,3518996.16613,0
1769400000000,2850.69,2853.56,2849.91,2850.04,831.9807,1769400299999,2372708.287493,20285,287.7948,820810.025677,0
1769400300000,2850.04,2855.88,2849.96,2855.88,1416.6024,1769400599999,4040995.369703,12156,460.6238,1314150.269031,0
1769400600000,2855.87,2859.28,2855.38,2857.28,1310.6459,1769400899999,3744969.050178,19551,722.3961,2064155.197136,0
1769400900000,2857.29,2862.44,2856.47,2862.06,1345.3785,1769401199999,3845960.376899,19416,747.7903,2137750.769768,0
1769401200000,2862.06,2872.31,2861.72,2871.44,2408.8065,1769401499999,6903232.495177,28511,1394.4111,3996664.877932,0
1769401500000,2871.45,2875.77,2869.01,2872.1,2746.8009,1769401799999,7892206.017266,18036,1008.0134,2895969.064641,0
1769401800000,2872.1,2875.36,2870.3,2873.16,1135.149,1769402099999,3261432.07589,21138,430.8187,1237777.201604,0
1769402100000,2873.16,2874.14,2868.51,2870.28,1443.9644,1769402399999,4145412.169069,15957,219.9019,631316.51658,0
1769402400000,2870.29,2870.68,2863.45,2863.45,1112.9239,1769402699999,3190280.335851,12009,175.6518,503436.949328,0
1769402700000,2863.46,2866.89,2863.45,2865.8,598.8082,1769402999999,1715982.107768,7526,178.3354,511034.183266,0
1769403000000,2865.79,2869.72,2865.79,2869.71,778.6347,1769403299999,2232741.000363,8360,230.1977,660140.669909,0
1769403300000,2869.71,2869.71,2862.12,2865.98,1224.7808,1769403599999,3510138.041642,11697,356.527,1021622.728606,0
1769403600000,2865.97,2868.03,2865.26,2865.27,528.693,1769403899999,1515726.581283,11265,198.8134,569957.317628,0
