strategy,pair,mechanism,trigger_value,threshold,reason,source,enabled,model_week,model_sha256,feature_schema_sha256,strategy_schema_sha256,start_ts,end_ts,phase,action
grid,BTC-FDUSD,v22_weekly_buy_gate,0.033814288675785,0.070953807234764,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,34,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1784304000,1784304300,EXITING,cancel_and_market_exit
grid,BTC-FDUSD,v22_weekly_buy_gate,0.033814288675785,0.070953807234764,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,34,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1784304300,1784520000,COOLDOWN,quote_only_until_model_recovery
grid,BTC-FDUSD,v22_weekly_buy_gate,0.033814288675785,0.070953807234764,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,34,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1784520000,1784520300,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0890717208385467,0.0714548006653785,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,3,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1765656000,1765656300,EXITING,cancel_and_market_exit
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0890717208385467,0.0714548006653785,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,3,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1765656300,1766160000,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0890717208385467,0.0714548006653785,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,3,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1766160000,1766160300,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.038068238645792,0.0383886657655239,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,8,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1768636800,1768637100,EXITING,cancel_and_market_exit
grid,ETH-FDUSD,v22_weekly_buy_gate,0.038068238645792,0.0383886657655239,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,8,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1768637100,1769472000,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.038068238645792,0.0383886657655239,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,8,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1769472000,1769472300,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0197546426206827,0.0723865389823913,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,10,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1769716800,1769717100,EXITING,cancel_and_market_exit
