timestamp,open,high,low,close,volume
1779303300,2134.86000000,2135.57000000,2134.48000000,2134.74000000,1.16620000
1779303600,2134.72000000,2135.86000000,2132.23000000,2132.49000000,8.74510000
1779303900,2132.22000000,2134.00000000,2131.71000000,2134.00000000,5.65560000
1779304200,2134.15000000,2134.67000000,2134.15000000,2134.67000000,0.23880000
1779304500,2134.38000000,2138.12000000,2133.71000000,2138.12000000,11.70840000
1779304800,2138.14000000,2139.43000000,2138.14000000,2139.21000000,4.28200000
1779305100,2139.00000000,2139.98000000,2139.00000000,2139.98000000,7.07340000
1779305400,2140.00000000,2141.37000000,2139.50000000,2140.71000000,5.35000000
1779305700,2140.34000000,2143.84000000,2140.34000000,2141.51000000,16.42400000
1779306000,2142.00000000,2143.26000000,2142.00000000,2142.79000000,23.64620000
1779306300,2142.51000000,2143.50000000,2141.50000000,2143.50000000,23.23750000
1779306600,2142.28000000,2142.39000000,2140.27000000,2142.12000000,1.51870000
1779306900,2142.13000000,2142.86000000,2140.93000000,2141.50000000,10.27470000
1779307200,2142.02000000,2142.02000000,2138.34000000,2138.42000000,3.83670000
1779307500,2139.62000000,2140.13000000,2139.24000000,2140.13000000,2.00140000
1779307800,2140.48000000,2143.00000000,2140.48000000,2143.00000000,14.57480000
1779308100,2142.80000000,2142.83000000,2138.75000000,2139.62000000,19.18820000
1779308400,2139.58000000,2139.84000000,2132.35000000,2137.77000000,46.93410000
1779308700,2137.37000000,2139.05000000,2135.58000000,2139.05000000,10.11580000
1779309000,2139.12000000,2139.50000000,2136.50000000,2136.96000000,5.78760000
1779309300,2137.04000000,2137.79000000,2136.64000000,2136.64000000,0.28340000
1779309600,2137.95000000,2139.20000000,2137.95000000,2138.85000000,2.25800000
1779309900,2138.30000000,2139.31000000,2137.21000000,2139.11000000,2.81180000
1779310200,2139.44000000,2139.47000000,2139.03000000,2139.12000000,1.56500000
1779310500,2138.73000000,2140.00000000,2138.73000000,2139.06000000,9.04500000
1779310800,2138.50000000,2140.27000000,2136.69000000,2140.26000000,12.92110000
1779311100,2139.87000000,2139.87000000,2139.66000000,2139.67000000,0.09970000
1779311400,2139.54000000,2140.94000000,2139.54000000,2140.58000000,2.43150000
1779311700,2139.90000000,2139.90000000,2137.77000000,2137.77000000,6.31150000
1779312000,2137.50000000,2137.50000000,2136.13000000,2137.35000000,1.79230000
1779312300,2137.56000000,2137.56000000,2135.64000000,2135.64000000,0.86300000
1779312600,2135.64000000,2135.64000000,2135.22000000,2135.29000000,0.48890000
1779312900,2135.87000000,2136.67000000,2135.84000000,2135.84000000,22.29850000
1779313200,2135.17000000,2135.84000000,2134.21000000,2134.59000000,18.20640000
1779313500,2134.16000000,2136.43000000,2134.04000000,2135.28000000,1.60460000
1779313800,2136.05000000,2136.07000000,2134.31000000,2135.01000000,7.72250000
1779314100,2135.49000000,2135.49000000,2133.44000000,2133.44000000,25.70980000
1779314400,2133.44000000,2133.44000000,2128.71000000,2129.96000000,50.74440000
1779314700,2129.77000000,2130.31000000,2123.39000000,2124.08000000,52.34610000
1779315000,2123.75000000,2125.97000000,2122.44000000,2125.51000000,10.33730000
1779315300,2125.83000000,2125.83000000,2121.50000000,2121.99000000,2.39690000
1779315600,2121.47000000,2126.83000000,2121.44000000,2126.83000000,6.73220000
1779315900,2126.81000000,2129.69000000,2126.26000000,2129.69000000,10.18790000
1779316200,2129.38000000,2131.06000000,2128.01000000,2129.33000000,32.62920000
1779316500,2129.24000000,2129.42000000,2126.50000000,2126.50000000,7.63400000
1779316800,2126.50000000,2128.86000000,2126.35000000,2128.86000000,11.09460000
1779317100,2128.87000000,2130.50000000,2128.87000000,2130.50000000,2.53380000
1779317400,2129.42000000,2129.81000000,2129.20000000,2129.20000000,0.01350000
1779317700,2129.84000000,2130.90000000,2129.84000000,2130.90000000,0.02320000
1779318000,2130.77000000,2130.77000000,2128.35000000,2128.35000000,2.44990000
1779318300,2128.11000000,2129.99000000,2128.11000000,2128.28000000,10.59820000
1779318600,2128.00000000,2128.00000000,2126.88000000,2127.71000000,1.46110000
1779318900,2126.84000000,2128.34000000,2125.29000000,2128.33000000,3.67880000
1779319200,2127.83000000,2127.83000000,2126.01000000,2126.62000000,1.85640000
1779319500,2127.28000000,2128.00000000,2127.28000000,2128.00000000,0.28070000
1779319800,2127.92000000,2128.59000000,2127.59000000,2128.49000000,2.19840000
1779320100,2128.59000000,2130.00000000,2128.15000000,2129.42000000,3.79720000
1779320400,2128.94000000,2130.29000000,2128.94000000,2129.81000000,0.66560000
1779320700,2129.14000000,2131.27000000,2129.12000000,2131.21000000,1.55400000
1779321000,2131.35000000,2131.89000000,2130.78000000,2131.89000000,2.74720000
1779321300,2131.89000000,2132.65000000,2131.56000000,2131.90000000,17.62790000
1779321600,2132.17000000,2134.08000000,2131.44000000,2134.08000000,7.20640000
1779321900,2134.08000000,2134.43000000,2132.00000000,2134.00000000,4.24840000
