timestamp,open,high,low,close,volume
1775308200,67147.23000000,67150.45000000,67142.32000000,67150.44000000,0.21397000
1775308500,67150.45000000,67160.23000000,67150.45000000,67160.23000000,0.24460000
1775308800,67161.71000000,67179.99000000,67150.40000000,67150.40000000,1.04059000
1775309100,67150.40000000,67150.72000000,67150.40000000,67150.51000000,0.01468000
1775309400,67154.95000000,67155.65000000,67154.94000000,67154.94000000,0.17214000
1775309700,67154.94000000,67316.67000000,67152.93000000,67283.14000000,11.16008000
1775310000,67286.50000000,67307.52000000,67283.13000000,67283.13000000,0.59093000
1775310300,67283.01000000,67287.69000000,67250.15000000,67250.16000000,0.27485000
1775310600,67255.43000000,67256.66000000,67222.96000000,67242.51000000,1.17300000
1775310900,67242.51000000,67283.99000000,67242.51000000,67255.68000000,0.84550000
1775311200,67255.34000000,67267.10000000,67251.19000000,67257.79000000,0.10015000
1775311500,67257.50000000,67257.51000000,67242.74000000,67257.50000000,0.33510000
1775311800,67257.50000000,67259.69000000,67251.00000000,67251.00000000,0.34223000
1775312100,67250.71000000,67253.78000000,67238.00000000,67252.68000000,0.22905000
1775312400,67252.97000000,67253.79000000,67250.96000000,67250.98000000,0.15863000
1775312700,67250.96000000,67250.96000000,67245.14000000,67245.14000000,1.10430000
1775313000,67245.14000000,67245.14000000,67216.48000000,67218.97000000,1.17374000
1775313300,67218.97000000,67223.00000000,67124.29000000,67125.44000000,2.31166000
1775313600,67129.27000000,67150.96000000,67082.03000000,67150.96000000,2.52132000
1775313900,67151.15000000,67207.91000000,67151.15000000,67194.89000000,0.76969000
1775314200,67194.88000000,67194.88000000,67184.52000000,67185.56000000,0.06622000
1775314500,67185.56000000,67255.00000000,67185.56000000,67255.00000000,2.05880000
1775314800,67255.00000000,67259.74000000,67235.60000000,67257.76000000,0.34308000
1775315100,67258.26000000,67350.00000000,67250.01000000,67350.00000000,3.58843000
1775315400,67350.11000000,67590.50000000,67308.23000000,67424.97000000,17.22890000
1775315700,67426.00000000,67475.28000000,67385.55000000,67458.77000000,1.20548000
1775316000,67458.76000000,67515.98000000,67399.91000000,67399.91000000,0.66500000
1775316300,67397.59000000,67397.59000000,67345.05000000,67380.64000000,1.06453000
1775316600,67378.00000000,67386.79000000,67361.20000000,67370.96000000,1.02122000
1775316900,67366.40000000,67378.71000000,67357.44000000,67378.71000000,0.29848000
1775317200,67378.72000000,67391.28000000,67321.83000000,67387.05000000,1.49761000
1775317500,67380.86000000,67380.86000000,67340.00000000,67366.68000000,0.23744000
1775317800,67369.99000000,67369.99000000,67349.58000000,67359.87000000,0.09365000
1775318100,67359.88000000,67421.03000000,67359.88000000,67421.02000000,0.86123000
1775318400,67421.03000000,67429.50000000,67387.84000000,67387.84000000,0.30065000
1775318700,67387.84000000,67394.45000000,67384.37000000,67384.37000000,0.10975000
1775319000,67384.37000000,67384.37000000,67365.60000000,67372.89000000,0.34009000
1775319300,67372.89000000,67397.86000000,67361.20000000,67391.99000000,0.21130000
1775319600,67394.43000000,67409.38000000,67375.71000000,67409.38000000,1.25923000
1775319900,67409.38000000,67508.50000000,67409.38000000,67475.00000000,1.54874000
1775320200,67481.04000000,67498.61000000,67422.63000000,67427.46000000,0.80505000
1775320500,67427.45000000,67520.65000000,67427.45000000,67512.74000000,0.95512000
1775320800,67510.33000000,67545.45000000,67502.04000000,67545.45000000,0.69657000
1775321100,67545.55000000,67554.59000000,67480.00000000,67480.00000000,2.19620000
1775321400,67480.00000000,67492.96000000,67465.39000000,67465.39000000,1.91343000
1775321700,67469.50000000,67494.09000000,67397.43000000,67398.83000000,1.25151000
1775322000,67399.50000000,67400.52000000,67332.90000000,67362.51000000,1.59478000
1775322300,67362.51000000,67383.49000000,67359.53000000,67381.93000000,0.56797000
1775322600,67381.93000000,67413.90000000,67373.00000000,67413.90000000,0.24778000
