rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
77,0.08,12,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9402.068802223826,-597.9311977761736,-0.05979311977761736,-0.08006513515455242,True,42778,24,24034,11604,566,0,-0.05979311977761736
78,0.06,8,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9388.740269827958,-611.2597301720416,-0.06112597301720416,-0.08012044645397537,True,42923,24,22539,10873,1113,0,-0.06112597301720416
79,0.08,12,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9388.100878375475,-611.8991216245249,-0.061189912162452495,-0.08013909839358235,True,42922,24,23168,11187,488,0,-0.061189912162452495
80,0.1,8,0.01,0.01,0.01,0.04,0.0,0.08,1,10000,9384.684880544262,-615.3151194557377,-0.06153151194557377,-0.08207719313820418,True,42811,24,12231,5903,406,0,-0.06153151194557377
81,0.08,12,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9383.701827951754,-616.2981720482458,-0.06162981720482458,-0.08120353020566722,True,42924,24,29422,14317,570,0,-0.06162981720482458
82,0.06,16,0.015,0.008,0.005,0.04,0.0,0.08,1,10000,9288.776692363912,-711.2233076360881,-0.07112233076360881,-0.08095877760295554,True,6756,24,6617,3037,146,0,-0.07112233076360881
83,0.06,16,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9279.518910946721,-720.481089053279,-0.0720481089053279,-0.08229382116241174,True,6747,24,5402,2423,142,0,-0.0720481089053279
84,0.06,12,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9275.55480508345,-724.4451949165505,-0.07244451949165505,-0.080156676458382,True,6778,24,4124,1841,152,0,-0.07244451949165505
85,0.06,16,0.015,0.008,0.015,0.04,0.0,0.08,1,10000,9275.275375915839,-724.7246240841614,-0.07247246240841614,-0.08093965852495287,True,6758,24,5700,2612,90,0,-0.07247246240841614
86,0.08,16,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9270.218262361179,-729.7817376388211,-0.07297817376388212,-0.08040441653857922,True,6787,24,4030,1791,89,0,-0.07297817376388212
87,0.06,16,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9267.233029357061,-732.7669706429388,-0.07327669706429388,-0.08257550774555332,True,6756,24,5009,2240,109,0,-0.07327669706429388
88,0.06,12,0.015,0.005,0.01,0.04,0.0,0.08,1,10000,9261.071461494055,-738.9285385059447,-0.07389285385059448,-0.08031998115062106,True,8073,24,12355,5963,179,0,-0.07389285385059448
89,0.08,16,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9260.778010595508,-739.221989404492,-0.0739221989404492,-0.08031947091685919,True,8075,24,12217,5898,99,0,-0.0739221989404492
90,0.06,12,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9260.546665948914,-739.4533340510861,-0.07394533340510862,-0.08086614917054635,True,7202,24,9538,4572,181,0,-0.07394533340510862
