week_index,train_start,train_end,trade_start,trade_end,selection_score,selection_net_pnl_pct,selection_max_drawdown_pct,start_equity,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidations,trades,completed_cycles,grid_moves,open_positions,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,selected_portfolio_stop_loss
11,2026-04-11 03:15:00,2026-04-18 03:15:00,2026-04-18 03:15:00,2026-04-25 03:15:00,0.0012865824875208892,0.0022139844445195193,-0.00061826797133242,10223.71660998974,10228.391543537462,4.674933547721594,0.00045726360833922656,-0.0039551691091966,0,1508,730,18,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
12,2026-04-18 03:15:00,2026-04-25 03:15:00,2026-04-25 03:15:00,2026-05-02 03:15:00,-7.320824844159928e-05,0.0008825640883638698,-0.0006371815578703127,10228.755836507555,10227.562528371047,-1.193308136507767,-0.0001166621000228316,-0.002954373894648081,0,700,351,15,10,0.06,8,0.005,0.005,0.01,0.04,900.0,0.08
13,2026-04-25 03:15:00,2026-05-02 03:15:00,2026-05-02 03:15:00,2026-05-09 03:15:00,-0.00043051553086748183,0.0007747506752377376,-0.0008035108040701463,10228.036320395056,10276.182040422895,48.14572002783825,0.004707230060557571,-0.0015461730527812276,0,1606,829,29,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
14,2026-05-02 03:15:00,2026-05-09 03:15:00,2026-05-09 03:15:00,2026-05-16 03:15:00,0.0005560484280648804,0.0014638246877468192,-0.0006051841731212925,10276.539332007469,10281.715979741264,5.176647733795107,0.0005037345322731204,-0.002338394565420789,0,1960,956,34,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
15,2026-05-09 03:15:00,2026-05-16 03:15:00,2026-05-16 03:15:00,2026-05-23 03:15:00,-0.00142941075434173,6.198501904309524e-05,-0.0009942638489232169,10281.75275884418,10245.06965906156,-36.68309978262005,-0.0035677866063318726,-0.005907074592894311,0,847,398,11,10,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.08
16,2026-05-16 03:15:00,2026-05-23 03:15:00,2026-05-23 03:15:00,2026-05-30 03:15:00,-0.0006625687948639081,0.0002823429224174106,-0.0006299411448542125,10244.904563992704,10246.29833073723,1.3937667445261468,0.00013604487341197446,-0.00894299382865933,0,1068,529,23,10,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.08
17,2026-05-23 03:15:00,2026-05-30 03:15:00,2026-05-30 03:15:00,2026-06-06 03:15:00,-0.0004905744465905584,0.0006561392614305078,-0.0007644758053473775,10245.117847957936,9936.888807629844,-308.2290403280913,-0.030085455814403122,-0.03801535065562037,0,2947,1368,75,10,0.06,8,0.005,0.005,0.01,0.04,900.0,0.08
18,2026-05-30 03:15:00,2026-06-06 03:15:00,2026-06-06 03:15:00,2026-06-13 03:15:00,-0.026108358879528122,-0.009380422503619958,-0.011151957583938776,9937.495766121829,10043.714572909716,106.21880678788693,0.010688689513710305,-0.04109388549094464,0,2219,1126,29,10,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.08
19,2026-06-06 03:15:00,2026-06-13 03:15:00,2026-06-13 03:15:00,2026-06-20 03:15:00,0.0018445091416156227,0.003824146391722752,-0.001319758166738086,10041.952368259239,10027.215813920531,-14.73655433870772,-0.0014674989283246604,-0.028792809257160434,0,2345,1139,43,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
20,2026-06-13 03:15:00,2026-06-20 03:15:00,2026-06-20 03:15:00,2026-06-27 03:15:00,-0.0034568280092162167,-0.0006804960369465335,-0.0018508879815131221,10028.71600384445,9978.133079180234,-50.58292466421699,-0.0050438086635244544,-0.04182987965418882,0,1907,948,52,10,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.08
21,2026-06-20 03:15:00,2026-06-27 03:15:00,2026-06-27 03:15:00,2026-07-04 03:15:00,-0.002458974607536196,0.0006653274572219743,-0.0020828680431721133,9981.894483549879,10129.383642390865,147.48915884098642,0.014775667994091498,-0.03693117334376255,0,1629,843,24,10,0.06,8,0.005,0.005,0.01,0.04,900.0,0.08
22,2026-06-27 03:15:00,2026-07-04 03:15:00,2026-07-04 03:15:00,2026-07-09 03:15:00,0.001478106445634166,0.0027005335486259357,-0.0008149514019945132,10128.698508585858,10070.54359160203,-58.154916983827206,-0.0057415981860384786,-0.024190743301916232,0,1560,746,22,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
