week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_grid_moves,selection_trades,selection_open_positions
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-0.0005601107099476172,7.2677225131083105,0.0007267722513108311,-0.0008579219741722989,False,13,1242,9
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.0010021914219920836,6.421076143105893,0.0006421076143105893,-0.0010961993575351152,False,13,783,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,8,0.005,0.005,0.01,0.04,-0.0002747707062065179,8.197924267869894,0.0008197924267869894,-0.0007297087553290049,False,16,1212,8
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.000800755810114786,8.143799936073265,0.0008143799936073265,-0.0010767572024814084,False,27,1496,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-0.0008140754948845444,8.238237092704367,0.0008238237092704367,-0.0010919328027699873,False,21,1489,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.00044785534392593595,9.950867692248721,0.000995086769224872,-0.0009619614087672053,False,32,1593,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.0008448757792959031,11.607175094974082,0.0011607175094974082,-0.0013370621925288741,False,13,1871,10
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-0.0009639440509551473,6.768939528685223,0.0006768939528685223,-0.001093892002549113,False,21,821,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,8,0.005,0.005,0.005,0.04,-0.0009872131885882598,5.312242331045127,0.0005312242331045126,-0.0010122916144618482,False,30,1268,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.0015275187120494193,5.8492606515210355,0.0005849260651521036,-0.0014082965181343486,False,31,802,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-0.0010472848373315959,5.0240703159579425,0.0005024070315957943,-0.0010331279126182603,False,31,1162,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.0015802224122735881,5.219292158852113,0.0005219292158852113,-0.0014014344187725327,False,31,784,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,8,0.005,0.005,0.01,0.04,-0.0010130712858270458,6.290969125180709,0.0006290969125180709,-0.0010947787988967444,False,31,1190,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.0011594466016083276,7.643039114955172,0.0007643039114955172,-0.0012825003420692297,False,38,1519,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-0.0015733516174945056,5.114105726361231,0.0005114105726361231,-0.0013898414600870858,False,30,1427,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.00114971382569106,8.88568605114233,0.0008885686051142329,-0.0013588549538701951,False,48,1519,10
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.001478681837294528,8.64614480995624,0.0008646144809956241,-0.001562197545526768,False,31,1802,10
