week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_trades,selection_completed_cycles,selection_grid_moves,selection_open_positions
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.015,0.005,0.01,0.04,-0.12905372682938354,-112.32400720266196,-0.011232400720266196,-0.07854755073941157,False,3223,1566,89,3
1,2026-05-25 02:41:41,2026-06-24 02:41:41,2026-06-24 02:41:41,2026-07-01 02:41:41,0.04,8,0.015,0.005,0.015,0.04,-0.1121908278576378,-115.55448901258933,-0.011555448901258933,-0.0670902526375859,False,2940,1428,68,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.003,0.01,0.04,0.0023674628670788574,48.11090509872156,0.004811090509872156,-0.0016290850951955326,False,1370,677,28,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.003,0.015,0.04,0.002375046480557112,47.713661235120526,0.004771366123512053,-0.0015975464286366273,False,1301,644,15,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.005,0.01,0.04,0.0019826720762238592,56.550119280560466,0.005655011928056047,-0.002448226567888125,False,952,466,28,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.005,0.015,0.04,0.001369233575736077,53.68891192359297,0.005368891192359297,-0.0026664384110821468,False,901,441,15,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.008,0.01,0.04,0.0025417710130246716,65.24809569507124,0.006524809569507124,-0.0026553590376549685,False,669,322,28,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.008,0.015,0.04,0.0016087519002711773,58.971591957930286,0.005897159195793028,-0.002858938197014567,False,611,294,15,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.01,0.01,0.04,0.0020409262228003027,67.94756620620683,0.006794756620620683,-0.003169220265213587,False,560,267,28,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.01,0.01,0.015,0.04,0.0008722448191018188,60.58155097403505,0.006058155097403505,-0.003457273518867791,False,513,244,15,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.015,0.003,0.01,0.04,0.003560086575541627,72.16635764808598,0.007216635764808597,-0.0024376994595113138,False,1370,677,28,3
